Currency,Rate ( 1USD = Currency Rate)
AED,3.673042
AFN,77.000368
ALL,103.650403
AMD,508.210403
ANG,1.794919
AOA,652.645041
ARS,80.99534
AUD,1.35373
AWG,1.8
AZN,1.70397
BAM,1.64037
BBD,2.019022
BDT,84.792881
BGN,1.635255
BHD,0.377056
BIF,1942
BMD,1
BND,1.33841
BOB,6.904832
BRL,5.344104
BSD,0.999992
BTC,5.54E-05
BTN,74.030076
BWP,11.037398
BYN,2.588672
BYR,19600
BZD,2.015667
CAD,1.29955
CDF,1971.000362
CHF,0.905046
CLF,0.027858
CLP,768.703912
CNY,6.577041
COP,3606.9
CRC,602.972381
CUC,1
CUP,26.5
CVE,92.820394
CZK,21.897404
DJF,177.720394
DKK,6.22077
DOP,58.250393
DZD,128.90904
EGP,15.639745
ERN,15.000358
ETB,37.48504
EUR,0.835858
FJD,2.083504
FKP,0.751125
GBP,0.751512
GEL,3.31504
GGP,0.751125
GHS,5.84504
GIP,0.751125
GMD,51.75039
GNF,9800.000355
GTQ,7.81483
GYD,209.358304
HKD,7.75064
HNL,24.270389
HRK,6.316304
HTG,65.727034
HUF,302.310388
IDR,14074.52983
ILS,3.31443
IMP,0.751125
INR,73.96245
IQD,1190
IRR,42105.00035
ISK,132.910386
JEP,0.751125
JMD,146.536555
JOD,0.708804
JPY,104.06604
KES,110.049107
KGS,84.798404
KHR,4047.000351
KMF,411.980384
KPW,900
KRW,1105.030384
KWD,0.305504
KYD,0.83334
KZT,424.528856
LAK,9288.000349
LBP,1512.903563
LKR,185.295351
LRD,157.275039
LSL,15.260382
LTL,2.95274
LVL,0.60489
LYD,1.350381
MAD,9.065039
MDL,17.249541
MGA,3790.000347
MKD,51.676997
MMK,1314.966997
MNT,2855.893865
MOP,7.982907
MRO,357.000515
MUR,39.850379
MVR,15.403741
MWK,765.000345
MXN,20.037604
MYR,4.069504
MZN,74.160377
NAD,15.260377
NGN,380.503727
NIO,34.850377
NOK,8.836304
NPR,118.448222
NZD,1.424842
OMR,0.384963
PAB,0.999992
PEN,3.603039
PGK,3.520375
PHP,48.125039
PKR,159.450375
PLN,3.74765
PYG,7047.915391
QAR,3.64075
RON,4.073604
RSD,98.255038
RUB,76.078904
RWF,988.5
SAR,3.75036
SBD,8.002049
SCR,20.78111
SDG,55.303678
SEK,8.494604
SGD,1.338204
SHP,0.751125
SLL,10012.50367
SOS,583.000338
SRD,14.154038
STD,21031.90602
SVC,8.750241
SYP,512.936065
SZL,15.26037
THB,30.317038
TJS,11.327255
TMT,3.5
TND,2.739504
TOP,2.28945
TRY,7.835204
TTD,6.784309
TWD,28.518504
TZS,2318.944038
UAH,28.506764
UGX,3699.87671
USD,1
UYU,42.613918
UZS,10415.00034
VEF,9.987504
VND,23161.5
VUV,110.509624
WST,2.590692
XAF,550.156419
XAG,0.044061
XAU,0.00056
XCD,2.70255
XDR,0.701579
XOF,551.000332
XPF,100.250364
YER,250.303597
ZAR,15.26649
ZMK,9001.203593
ZMW,21.011985
ZWL,321.999941
SSP,130.26
SLS,0.0791
NIS,3.31